CATEGORY,NUMBER_OF_BUSINESSES
Restaurants,52268
Food,27781
Shopping,24395
Home Services,14356
Beauty & Spas,14292
Nightlife,12281
Health & Medical,11890
Local Services,11198
Bars,11065
Automotive,10773
Event Planning & Services,9895
Sandwiches,8366
American (Traditional),8139
Active Life,7687
Pizza,7093
Coffee & Tea,6703
Fast Food,6472
Breakfast & Brunch,6239
American (New),6097
Hotels & Travel,5857
Home & Garden,5799
Fashion,5739
Burgers,5636
Arts & Entertainment,5434
Auto Repair,5433
Hair Salons,5046
Nail Salons,4621
Mexican,4600
Italian,4573
Specialty Food,4233
Doctors,3763
Pets,3758
Real Estate,3577
Seafood,3539
Fitness & Instruction,3293
Professional Services,3270
Hair Removal,3239
Desserts,3186
Chinese,3169
Bakeries,3150
Grocery,3139
Salad,3064
Hotels,2977
Chicken Wings,2966
Cafes,2756
Ice Cream & Frozen Yogurt,2657
Caterers,2645
Pet Services,2626
Dentists,2528
Skin Care,2498
Venues & Event Spaces,2480
Tires,2471
Wine & Spirits,2413
Beer,2413
Delis,2393
Oil Change Stations,2356
Waxing,2333
Contractors,2327
Women's Clothing,2184
Massage,2134
Sports Bars,2110
Day Spas,1997
General Dentistry,1993
Education,1936
Flowers & Gifts,1930
Auto Parts & Supplies,1926
Apartments,1921
Convenience Stores,1919
Home Decor,1892
Gyms,1831
Japanese,1830
Pubs,1821
Cocktail Bars,1718
Sushi Bars,1717
Barbeque,1694
Juice Bars & Smoothies,1684
Barbers,1677
Car Dealers,1665
Sporting Goods,1662
Accessories,1639
Cosmetic Dentists,1630
Drugstores,1630
Local Flavor,1604
Furniture Stores,1597
Pet Groomers,1549
Asian Fusion,1547
Cosmetics & Beauty Supply,1544
Jewelry,1525
Steakhouses,1506
Diners,1494
Financial Services,1487
Trainers,1460
Hair Stylists,1459
Arts & Crafts,1440
Department Stores,1430
Electronics,1422
Veterinarians,1383
Massage Therapy,1357
Pet Sitting,1356
Eyelash Service,1278
Food Trucks,1273
Men's Clothing,1273
Mediterranean,1263
Body Shops,1229
Public Services & Government,1216
Heating & Air Conditioning/HVAC,1199
Lounges,1194
Wine Bars,1192
IT Services & Computer Repair,1189
Vegetarian,1158
Laundry Services,1149
Medical Centers,1131
Optometrists,1112
Plumbing,1111
Gas Stations,1106
Music Venues,1104
Donuts,1097
Dry Cleaning & Laundry,1075
Party & Event Planning,1073
Soup,1061
Food Delivery Services,1050
Pet Stores,1043
Tacos,1020
Shoe Stores,1018
Eyewear & Opticians,1016
Southern,988
Parks,984
Music & Video,975
Mags,975
Books,975
Makeup Artists,973
Thai,971
Car Wash,960
Florists,955
Building Supplies,954
Mobile Phones,952
Movers,948
Yoga,938
Specialty Schools,932
Cajun/Creole,923
Tex-Mex,919
Auto Detailing,906
Landscaping,896
Nurseries & Gardening,892
Appliances,872
Beer Bar,870
Discount Store,868
Breweries,863
Transportation,858
Vegan,856
Vietnamese,852
Home Cleaning,850
Sewing & Alterations,842
Tours,842
Indian,838
Men's Hair Salons,828
Latin American,810
Chicken Shop,808
Appliances & Repair,800
Real Estate Services,800
Gift Shops,796
Self Storage,795
Shipping Centers,792
Hardware Stores,792
Printing Services,790
Art Galleries,786
Medical Spas,781
Greek,779
Gluten-Free,777
Hot Dogs,774
Kitchen & Bath,763
Property Management,759
Used,753
Vintage & Consignment,753
Oral Surgeons,752
Banks & Credit Unions,749
Comfort Food,746
Bagels,738
Auto Glass Services,727
Chiropractors,726
Wedding Planning,709
Endodontists,706
Towing,692
Tobacco Shops,691
Car Rental,670
Tanning,667
Orthodontists,660
Ethnic Food,658
Transmission Repair,639
Antiques,638
Dive Bars,636
Mattresses,630
Hair Extensions,624
Buffets,622
Flooring,621
Cheesesteaks,614
Thrift Stores,610
Tattoo,609
Health Markets,601
Caribbean,590
Middle Eastern,588
Performing Arts,581
Sports Wear,574
Real Estate Agents,565
Physical Therapy,561
Pet Training,561
Tree Services,561
Water Heater Installation/Repair,557
Bridal,555
Meat Shops,552
Hobby Shops,552
Urgent Care,541
Soul Food,539
Fruits & Veggies,532
Pediatric Dentists,528
Carpet Cleaning,526
Mobile Phone Repair,525
Toy Stores,518
Notaries,516
Gastropubs,513
Interior Design,509
Photographers,507
Pest Control,503
Community Service/Non-Profit,503
French,503
Electronics Repair,503
Family Practice,503
Pharmacy,503
Farmers Market,498
Korean,497
Golf,494
Electricians,489
Bubble Tea,477
Vape Shops,469
Mobile Phone Accessories,468
Roofing,468
Diagnostic Services,467
Photography Stores & Services,466
Periodontists,464
Bikes,463
Blow Dry/Out Services,456
Eyebrow Services,454
Windows Installation,447
Dance Clubs,447
Painters,446
Children's Clothing,445
Festivals,442
Weight Loss Centers,441
Tapas/Small Plates,440
Nutritionists,439
Used Car Dealers,436
Pet Boarding,425
Acupuncture,424
Food Stands,423
Cupcakes,422
Ophthalmologists,421
Bookstores,416
Child Care & Day Care,416
Museums,413
Reflexology,411
Insurance,403
Junk Removal & Hauling,401
Telecommunications,397
Hospitals,395
Laser Hair Removal,394
Noodles,382
Dry Cleaning,382
Arcades,378
Permanent Makeup,377
Office Cleaning,373
Outdoor Gear,369
Piercing,368
Cosmetic Surgeons,367
Kids Activities,367
Mortgage Brokers,363
Lawyers,363
Masonry/Concrete,363
Halal,362
Cinema,359
Session Photography,357
Street Vendors,357
Candy Stores,356
Handyman,356
Internet Service Providers,356
Damage Restoration,353
Windshield Installation & Repair,352
Jewelry Repair,347
Preschools,344
Wineries,342
Chocolatiers & Shops,339
Mailbox Centers,339
Computers,339
Boot Camps,337
Seafood Markets,337
Lighting Fixtures & Equipment,336
Dermatologists,336
Spray Tanning,332
Watches,329
Airport Shuttles,328
Post Offices,327
Event Photography,325
Karaoke,325
Bed & Breakfast,324
Keys & Locksmiths,323
Gutter Services,320
Nail Technicians,320
Couriers & Delivery Services,317
Sports Clubs,314
Pressure Washers,313
Art Supplies,311
Auto Customization,311
Obstetricians & Gynecologists,311
Wraps,310
Party Supplies,309
Carpeting,304
Wheel & Rim Repair,303
Landmarks & Historical Buildings,302
Pool & Hot Tub Service,301
Shopping Centers,297
Bike Rentals,296
Custom Cakes,296
Pilates,294
Limos,293
Organic Stores,292
Sports Medicine,289
Security Systems,287
Boating,287
Home Inspectors,286
Religious Organizations,286
Spanish,286
Dog Walkers,284
Cuban,283
Formal Wear,279
Amusement Parks,279
Swimming Pools,278
Coffee Roasteries,278
Musical Instruments & Teachers,277
Door Sales/Installation,277
Wholesale Stores,274
Bike Repair/Maintenance,273
Shaved Ice,272
Laboratory Testing,272
Air Duct Cleaning,271
Travel Services,270
Packing Services,269
Acai Bowls,268
Shades & Blinds,266
Playgrounds,266
Martial Arts,265
Office Equipment,261
Canadian (New),261
Hot Tub & Pool,257
Shoe Repair,256
Floral Designers,256
Gardeners,254
Vitamins & Supplements,253
Cards & Stationery,252
Pediatricians,252
Taxis,250
Car Stereo Installation,245
Guns & Ammo,245
Recreation Centers,244
Parking,243
Baby Gear & Furniture,242
Watch Repair,241
Art Classes,241
Landscape Architects,239
Graphic Design,238
Tiling,236
Hookah Bars,235
Window Washing,232
Summer Camps,232
Music & DVDs,232
Tea Rooms,228
Car Window Tinting,228
Pakistani,228
Motorcycle Dealers,226
Tapas Bars,226
Orthopedists,225
Counseling & Mental Health,225
Ramen,223
Elementary Schools,222
Rehabilitation Center,222
Glass & Mirrors,222
Naturopathic/Holistic,221
Smog Check Stations,220
Internal Medicine,218
Adult Entertainment,218
Churches,218
Cabinetry,216
Irish,215
Hiking,211
Poke,210
Irrigation,207
Pool Cleaners,207
Libraries,207
Truck Rental,206
International Grocery,205
Signmaking,204
Motorcycle Repair,204
Interval Training Gyms,203
Fish & Chips,202
Imported Food,201
Reiki,201
Dance Studios,201
Lingerie,201
Head Shops,201
Fences & Gates,200
Auto Insurance,198
Laundromat,198
Framing,197
Medical Supplies,197
Gelato,197
Bowling,195
Party Equipment Rentals,194
Pasta Shops,193
Laser Eye Surgery/Lasik,191
Waffles,190
Brewpubs,186
Videos & Video Game Rental,186
Beer Gardens,185
Hawaiian,185
Butcher,182
Outlet Stores,182
Siding,180
Financial Advising,179
Jazz & Blues,178
