CATEGORY,NO_OF_REVIEWS,,,,,,,,,,,
Restaurants,4724471,,,,"Q3. Find the most Popular categories of businesses (based on number of reviews).

WITH CTE1 as (
SELECT business_id , trim(A.value) as category from tbl_yelp_business,
lateral split_to_table(categories,',') A
)
SELECT category , COUNT(*) as no_of_reviews
from CTE1 
inner join tbl_yelp_reviews r on CTE1.business_id=r.business_id
GROUP BY 1
ORDER BY 2 DESC;",,,,,,,
Food,1813593,,,,,,,,,,,
Nightlife,1539757,,,,,,,,,,,
Bars,1455553,,,,,,,,,,,
American (Traditional),1011646,,,,,,,,,,,
American (New),984540,,,,,,,,,,,
Breakfast & Brunch,867430,,,,,,,,,,,
Sandwiches,691864,,,,,,,,,,,
Seafood,620247,,,,,,,,,,,
Event Planning & Services,609553,,,,,,,,,,,
Shopping,523254,,,,,,,,,,,
Pizza,475819,,,,,,,,,,,
Burgers,445895,,,,,,,,,,,
Coffee & Tea,442348,,,,,,,,,,,
Italian,439358,,,,,,,,,,,
Mexican,431020,,,,,,,,,,,
Beauty & Spas,370121,,,,,,,,,,,
Arts & Entertainment,345059,,,,,,,,,,,
Cocktail Bars,339102,,,,,,,,,,,
Salad,333444,,,,,,,,,,,
Hotels & Travel,329658,,,,,,,,,,,
Desserts,307028,,,,,,,,,,,
Cafes,289916,,,,,,,,,,,
Specialty Food,268202,,,,,,,,,,,
Cajun/Creole,251836,,,,,,,,,,,
Steakhouses,240040,,,,,,,,,,,
Automotive,239001,,,,,,,,,,,
Home Services,238263,,,,,,,,,,,
Fast Food,233008,,,,,,,,,,,
Beer,232960,,,,,,,,,,,
Wine & Spirits,232960,,,,,,,,,,,
Sushi Bars,224849,,,,,,,,,,,
Chinese,221063,,,,,,,,,,,
Pubs,218891,,,,,,,,,,,
Bakeries,218705,,,,,,,,,,,
Caterers,217870,,,,,,,,,,,
Japanese,216261,,,,,,,,,,,
Venues & Event Spaces,214916,,,,,,,,,,,
Southern,214852,,,,,,,,,,,
Active Life,206999,,,,,,,,,,,
Local Services,206409,,,,,,,,,,,
Barbeque,198797,,,,,,,,,,,
Health & Medical,196580,,,,,,,,,,,
Asian Fusion,195301,,,,,,,,,,,
Wine Bars,194322,,,,,,,,,,,
Sports Bars,193580,,,,,,,,,,,
Hotels,190269,,,,,,,,,,,
Vegetarian,184004,,,,,,,,,,,
Chicken Wings,175455,,,,,,,,,,,
Diners,172691,,,,,,,,,,,
Ice Cream & Frozen Yogurt,151330,,,,,,,,,,,
Nail Salons,150214,,,,,,,,,,,
Delis,140759,,,,,,,,,,,
Local Flavor,138246,,,,,,,,,,,
Mediterranean,135065,,,,,,,,,,,
Auto Repair,133882,,,,,,,,,,,
Lounges,129311,,,,,,,,,,,
Gluten-Free,124950,,,,,,,,,,,
Beer Bar,124466,,,,,,,,,,,
Grocery,124325,,,,,,,,,,,
Fashion,122982,,,,,,,,,,,
Music Venues,118777,,,,,,,,,,,
Vegan,118212,,,,,,,,,,,
Hair Salons,115666,,,,,,,,,,,
Thai,114921,,,,,,,,,,,
Gastropubs,114914,,,,,,,,,,,
Home & Garden,114151,,,,,,,,,,,
Juice Bars & Smoothies,114068,,,,,,,,,,,
Comfort Food,111595,,,,,,,,,,,
Breweries,111059,,,,,,,,,,,
Hair Removal,110712,,,,,,,,,,,
Soup,106397,,,,,,,,,,,
French,94870,,,,,,,,,,,
Vietnamese,91712,,,,,,,,,,,
Latin American,90586,,,,,,,,,,,
Tacos,86849,,,,,,,,,,,
Waxing,85301,,,,,,,,,,,
Pets,82838,,,,,,,,,,,
Tapas/Small Plates,81553,,,,,,,,,,,
Day Spas,80786,,,,,,,,,,,
Tex-Mex,79617,,,,,,,,,,,
Indian,79229,,,,,,,,,,,
Skin Care,78806,,,,,,,,,,,
Greek,72345,,,,,,,,,,,
Ethnic Food,69245,,,,,,,,,,,
Middle Eastern,67173,,,,,,,,,,,
Soul Food,66804,,,,,,,,,,,
Massage,65827,,,,,,,,,,,
Car Dealers,65540,,,,,,,,,,,
Fitness & Instruction,62350,,,,,,,,,,,
Cheesesteaks,61796,,,,,,,,,,,
Tours,61691,,,,,,,,,,,
Auto Parts & Supplies,61061,,,,,,,,,,,
Food Delivery Services,60619,,,,,,,,,,,
Food Trucks,60221,,,,,,,,,,,
Donuts,59465,,,,,,,,,,,
Professional Services,58646,,,,,,,,,,,
Doctors,58506,,,,,,,,,,,
Pet Services,56554,,,,,,,,,,,
Oil Change Stations,56472,,,,,,,,,,,
Tires,56425,,,,,,,,,,,
Korean,56328,,,,,,,,,,,
Real Estate,56124,,,,,,,,,,,
Buffets,56060,,,,,,,,,,,
Noodles,54821,,,,,,,,,,,
Chicken Shop,53528,,,,,,,,,,,
Bagels,53020,,,,,,,,,,,
Hot Dogs,49444,,,,,,,,,,,
Caribbean,47321,,,,,,,,,,,
Flowers & Gifts,46589,,,,,,,,,,,
Dive Bars,46530,,,,,,,,,,,
Party & Event Planning,44877,,,,,,,,,,,
Department Stores,41788,,,,,,,,,,,
Eyelash Service,41665,,,,,,,,,,,
Tapas Bars,41593,,,,,,,,,,,
Bubble Tea,39961,,,,,,,,,,,
Sporting Goods,39802,,,,,,,,,,,
Women's Clothing,39440,,,,,,,,,,,
Spanish,38734,,,,,,,,,,,
Gyms,38122,,,,,,,,,,,
Museums,36743,,,,,,,,,,,
Home Decor,36687,,,,,,,,,,,
Education,36548,,,,,,,,,,,
Contractors,36142,,,,,,,,,,,
Public Services & Government,35934,,,,,,,,,,,
Dentists,35384,,,,,,,,,,,
Cuban,35301,,,,,,,,,,,
Ramen,35073,,,,,,,,,,,
Furniture Stores,34720,,,,,,,,,,,
Parks,34548,,,,,,,,,,,
Electronics,34486,,,,,,,,,,,
Pet Groomers,33624,,,,,,,,,,,
Barbers,33512,,,,,,,,,,,
Veterinarians,33512,,,,,,,,,,,
Cosmetics & Beauty Supply,33193,,,,,,,,,,,
Convenience Stores,32920,,,,,,,,,,,
Transportation,32919,,,,,,,,,,,
Drugstores,32191,,,,,,,,,,,
Wineries,31711,,,,,,,,,,,
Hair Stylists,31569,,,,,,,,,,,
Apartments,30984,,,,,,,,,,,
Health Markets,30969,,,,,,,,,,,
Arts & Crafts,30354,,,,,,,,,,,
Cinema,30343,,,,,,,,,,,
Body Shops,30292,,,,,,,,,,,
Dance Clubs,30259,,,,,,,,,,,
Meat Shops,29823,,,,,,,,,,,
Seafood Markets,29558,,,,,,,,,,,
Trainers,29380,,,,,,,,,,,
Massage Therapy,29266,,,,,,,,,,,
Pet Sitting,29260,,,,,,,,,,,
General Dentistry,28902,,,,,,,,,,,
Accessories,28610,,,,,,,,,,,
Jewelry,28248,,,,,,,,,,,
Makeup Artists,27558,,,,,,,,,,,
Halal,27537,,,,,,,,,,,
Farmers Market,27052,,,,,,,,,,,
Jazz & Blues,26713,,,,,,,,,,,
Casinos,26708,,,,,,,,,,,
Food Stands,26671,,,,,,,,,,,
Fruits & Veggies,26200,,,,,,,,,,,
Resorts,25923,,,,,,,,,,,
Pakistani,25710,,,,,,,,,,,
IT Services & Computer Repair,25456,,,,,,,,,,,
Beer Gardens,25386,,,,,,,,,,,
Car Rental,25383,,,,,,,,,,,
Brewpubs,25089,,,,,,,,,,,
Car Wash,24983,,,,,,,,,,,
Cosmetic Dentists,24963,,,,,,,,,,,
Dim Sum,24762,,,,,,,,,,,
Men's Clothing,24596,,,,,,,,,,,
Chocolatiers & Shops,24565,,,,,,,,,,,
Irish,24513,,,,,,,,,,,
Auto Detailing,24329,,,,,,,,,,,
Plumbing,23835,,,,,,,,,,,
Hawaiian,23824,,,,,,,,,,,
Heating & Air Conditioning/HVAC,23639,,,,,,,,,,,
Books,23584,,,,,,,,,,,
Mags,23584,,,,,,,,,,,
Music & Video,23584,,,,,,,,,,,
Live/Raw Food,23562,,,,,,,,,,,
Coffee Roasteries,23405,,,,,,,,,,,
Appliances,23382,,,,,,,,,,,
Art Galleries,23376,,,,,,,,,,,
Nurseries & Gardening,23227,,,,,,,,,,,
Medical Centers,23209,,,,,,,,,,,
Cupcakes,22990,,,,,,,,,,,
Pet Stores,22978,,,,,,,,,,,
Shopping Centers,22521,,,,,,,,,,,
Movers,22427,,,,,,,,,,,
German,22422,,,,,,,,,,,
