CITY,BUSINESS_ID,NAME,TOTAL_REVIEWS,RN,,,,,,,
Mehlville,t2NJiSKdFhojJp-7E68zFw,La Fiesta Mexican Resturant,68,1,," Q7. Find the top 5 most reviewed business in each city.
SELECT * from tbl_yelp_business LIMIT 10;

--solution with first method --
WITH cte1 as (
SELECT b.city ,b.business_id,b.name,  COUNT(*) as total_reviews ,
from tbl_yelp_reviews r
inner join  tbl_yelp_business  b  on r.business_id=b.business_id
GROUP BY 1,2,3 ),
cte2 as (
SELECT * , row_number() over (partition by city order by total_reviews desc)  as rn
from cte1) 
SELECT * from cte2 where rn<=5;

-- solution with second method using ""qualify"" function ---
WITH cte1 as (
SELECT b.city ,b.business_id,b.name,  COUNT(*) as total_reviews ,
from tbl_yelp_reviews r
inner join  tbl_yelp_business  b  on r.business_id=b.business_id
GROUP BY 1,2,3 )
SELECT * from cte1 qualify row_number() over (partition by city order by total_reviews desc)<=5 ;",,,,,
Mehlville,1uPqRkgybcnmnlRa_BbvoQ,Tire Choice Auto Service Centers,10,2,,,,,,,
Mehlville,k4UIQD7icOOAzhCmGq0Pug,Jiffy Lube,5,3,,,,,,,
Mehlville,cZvHhdp5bDqYFcVfRDER4w,7-Eleven,5,4,,,,,,,
Bucks,b1mID_jaz46GCGO1RFZkGw,Dominick's Pizzeria,17,1,,,,,,,
Bucks,hbOWfn_4_cWr8wzHGC-0Bg,Falls Township Dog Park,16,2,,,,,,,
Bucks,DTGQNA_vSmNePglOkSANlg,Marisa Boutique,11,3,,,,,,,
Bucks,YwAztd3p6KYLkUvm6I3uTw,Benjamin Rush State Park,10,4,,,,,,,
Bucks,emybned-UV_6XbyJ-cq79g,PennGreen Landscape & Design,9,5,,,,,,,
Wales,i4Q1FYsQrJGIdINwvzVKkA,Old Navy,8,1,,,,,,,
O'Fallon,6AGpQJdTQmbzx7c2-D0vsQ,Hop House Southern Eatery,439,1,,,,,,,
O'Fallon,gpSv4OvISIeyBAqcNN5bqw,Peel Wood Fired Pizza,395,2,,,,,,,
O'Fallon,3KYD10PwNu_gvtcWXWkZNA,The Egg & I,239,3,,,,,,,
