BUSINESS_ID,NAME,TOTAL_REVIEWS,AVG (R.STARS),,,,,,,,,
_ab50qdWOk0DdB6XOrBitw,Acme Oyster House,7673,4.124984,,,,,,,,,
ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill,7516,4.146221,,,"Q8. Find the average rating of the businesses that have atleast 100 reviews.
SELECT b.business_id,b.name,  COUNT(*) as total_reviews , AVG (r.stars)
from tbl_yelp_reviews r
inner join  tbl_yelp_business  b  on r.business_id=b.business_id
GROUP BY 1,2 
HAVING total_reviews >=100
Order by 3 desc ;",,,,,,
GXFMD0Z4jEVZBCsbPf4CTQ,Hattie B’s Hot Chicken - Nashville,6160,4.446266,,,,,,,,,
ytynqOUb3hjKeJfRj5Tshw,Reading Terminal Market,5778,4.6054,,,,,,,,,
oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans,5264,4.291223,,,,,,,,,
iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,5254,3.438713,,,,,,,,,
VQcCL9PiNL_wkGf-uF3fjg,Royal House,5146,3.78663,,,,,,,,,
_C7QiQQc47AOEv4PE3Kong,Commander's Palace,4969,4.29201,,,,,,,,,
GBTPC53ZrG1ZBY3DT8Mbcw,Luke,4661,4.17743,,,,,,,,,
6a4gLLFSgr-Q6CZXDLzBGQ,Cochon,4480,4.186384,,,,,,,,,
PP3BBaVxZLcJU54uP_wL6Q,Pat's King of Steaks,4293,3.240158,,,,,,,,,
1b5mnK8bMnnju_cvU65GqQ,Biscuit Love: Gulch,4247,4.17118,,,,,,,,,
I_3LMZ_1m2mzR0oLIOePIg,Pappy's Smokehouse,4093,4.465184,,,,,,,,,
VaO-VW3e1kARkU9bP1E7Fw,Felix's Restaurant & Oyster Bar,4034,3.961824,,,,,,,,,
qb28j-FNX1_6xm7u372TZA,Gumbo Shop,3971,3.915387,,,,,,,,,
gTC8IQ_i8zXytWSly3Ttvg,Cochon Butcher,3917,4.509318,,,,,,,,,
yPSejq3_erxo9zdVYTBnZA,Los Agaves,3889,4.489329,,,,,,,,,
wz8ZPfySQczcPgSyd33-HQ,Grand Sierra Resort and Casino,3634,2.977435,,,,,,,,,
VVH6k9-ycttH3TV_lk5WfQ,Willie Mae's Scotch House,3633,4.254611,,,,,,,,,
IkY2ticzHEn4QFn8hQLSWg,Geno's Steaks,3428,2.532089,,,,,,,,,
QHWYlmVbLC3K6eglWoHVvA,Datz,3388,4.114817,,,,,,,,,
9PZxjhTIU7OgPIzuGi89Ew,El Vez,3264,3.96538,,,,,,,,,
DcBLYSvOuWcNReolRVr12A,Drago's Seafood Restaurant,3217,3.603668,,,,,,,,,
XnQ84ylyAZwh-XfHGGNBbQ,Coop's Place,3210,3.578505,,,,,,,,,
L5LLN0RafiV1Z9cddzvuCw,Ulele,3179,4.150362,,,,,,,,,
ctHjyadbDQAtUFfkcAFEHw,Zahav,3173,4.548692,,,,,,,,,
VAeEXLbEcI9Emt9KGYq9aA,The Pharmacy,3105,4.044122,,,,,,,,,
dsfRniRgfbDjC8os848B6A,Bern's Steak House,3028,4.251982,,,,,,,,,
